id,schoolName,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,AVERAGE,RegionName,Lan,Lon,Add1,Add2,Add3
70,CHAMPS - Charter HS of Arts-Multimedia & Performing,22,22,18,20,20.5,Van Nuys,34.1951647,-118.4482843,Van Nuys Boulevard,Van Nuys,Los Angeles
71,Charter Oak High,22,21,22,22,21.75,Charter Oak,34.0992416,-117.8606489,East Covina Boulevard,Charter Oak,Covina
72,Chatsworth Charter High,21,20,21,20,20.5,Chatsworth,34.2533827,-118.5863575,Lurline Avenue,Chatsworth,Los Angeles
73,City Honors College Preparatory Academy,19,18,18,18,18.25,Inglewood,33.9638653,-118.3566637,West Regent Street,Inglewood,Los Angeles County
74,Claremont High,25,24,24,24,24.25,Claremont,34.1124707,-117.7224185,North Indian Hill Boulevard,Claremont,Los Angeles County
75,Communication and Technology at Diego Rivera Learning Complex,15,14,17,15,15.25,South Los Angeles,33.9840242,-118.2560713,South Central Avenue,South Los Angeles,Los Angeles
76,Compton Early College High,20,18,19,19,19.0,Compton,33.9160535,-118.2398937,North Wilmington Avenue,Compton,Los Angeles County
77,Compton High,15,13,16,15,14.75,Compton,33.8903255,-118.2271861,South Acacia Avenue,Compton,Los Angeles County
78,Contreras Learning Center-Academic Leadership Community,14,13,16,15,14.5,Westlake North,34.0576001,-118.260909,Lucas Avenue,Westlake North,Los Angeles
79,Contreras Learning Center-School of Social Justice,16,14,16,15,15.25,Westlake North,34.0577229,-118.2617234,Lucas Avenue,Westlake North,Los Angeles
80,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",16,14,16,15,15.25,California,34.0522342,-118.2436849,Los Angeles County,California,United States
81,Crescenta Valley High,27,27,26,26,26.5,La Crescenta-Montrose,34.223719,-118.2432021,Community Avenue,La Crescenta-Montrose,Los Angeles County
82,Culver City High,24,24,22,23,23.25,Park West,34.0068446,-118.4013141,Elenda Street,Park West,Culver City
83,Da Vinci Communications,17,16,17,17,16.75,Newport Beach,33.664306,-117.8605804,Von Karman Avenue,Newport Beach,Orange County
84,Da Vinci Design,19,20,18,18,18.75,Santa Monica Boulevard,34.0903281,-118.3739393,8424,Santa Monica Boulevard,Central LA
85,Da Vinci Science,25,24,22,23,23.5,Allentown,40.5839007,-75.5202393,Hamilton Boulevard Bypass,Allentown,Lehigh County
86,Daniel Pearl Journalism & Communications Magnet,24,24,22,22,23.0,Lake Balboa,34.1910006,-118.5019061,Balboa Boulevard,Lake Balboa,Los Angeles
87,David Starr Jordan Senior High,18,16,17,18,17.25,South Los Angeles,33.944673,-118.2298545,East 103rd Street,South Los Angeles,Los Angeles
88,Diamond Bar High,28,28,29,27,28.0,Diamond Bar,33.9824763,-117.8390886,Pathfinder Road,Diamond Bar,Los Angeles County
89,Diamond Ranch High,23,22,21,22,22.0,Pomona,34.021841,-117.7784747,Diamond Ranch Road,Pomona,Los Angeles County
90,Dominguez High,15,14,16,15,15.0,Compton,33.892375,-118.1818288,South San Jose Avenue,Compton,Los Angeles County
91,Downey High,23,22,22,22,22.25,Downey,33.9388561,-118.128743,Brookshire Avenue,Downey,Los Angeles County
92,Downtown Business High,22,21,22,22,21.75,Westlake,34.063101,-118.2502699,West Temple Street,Westlake,Los Angeles
93,Dr. Maya Angelou Community High,17,15,16,16,16.0,South Los Angeles,33.9937688,-118.2669905,East 53rd Street,South Los Angeles,Los Angeles
94,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,25,25,23,22,23.75,Wilmington,33.7831978,-118.2838431,Los Angeles,Los Angeles County,California
95,Duarte High,20,20,18,19,19.25,Duarte,34.1364501,-117.970919,Central Avenue,Duarte,Los Angeles County
96,Eagle Rock High,25,25,23,23,24.0,Northeast Los Angeles,34.1319623,-118.206634,Yosemite Drive,Northeast Los Angeles,Los Angeles
97,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,17,16,16,18,16.75,Los Angeles,34.0417787,-118.1750135,Dozier Street,Los Angeles,Los Angeles County
98,East Valley Senior High,16,15,16,17,16.0,North Hollywood,34.1709708,-118.3707583,Vineland Avenue,North Hollywood,Los Angeles
99,Eastside High,19,18,16,18,17.75,Lancaster,34.6813619,-118.0705664,East Avenue J 8,Lancaster,Los Angeles County
100,Ednovate - East College Prep,19,19,18,19,18.75,Lincoln Heights,34.0701198,-118.199685,North Mission Road,Lincoln Heights,Los Angeles
101,Ednovate - USC Hybrid High College Prep,20,20,20,20,20.0,South Los Angeles,34.0137213,-118.2917279,South Vermont Avenue,South Los Angeles,Los Angeles
102,Edward R. Roybal Learning Center,18,17,18,19,18.0,Westlake,34.0607451,-118.2546979,Colton Street,Westlake,Los Angeles
103,El Camino Real Charter High,25,26,25,24,25.0,Woodland Hills,34.1694892,-118.6431016,Valley Circle Boulevard,Woodland Hills,Los Angeles
104,El Monte High,19,18,20,19,19.0,California,34.056486,-118.0420282,Los Angeles County,California,United States
105,El Rancho High,19,18,19,19,18.75,El Rancho,33.9849715,-118.0888305,Passons Boulevard,El Rancho,Pico Rivera
106,El Segundo High,25,25,24,24,24.5,El Segundo,33.9248656,-118.415381,Main Street,El Segundo,Los Angeles County
107,Environmental Charter High,17,17,18,17,17.25,Harbor Gateway North,33.880591,-118.289279,West 165th Place,Harbor Gateway North,Gardena
108,"Ernest S. McBride, Sr. High",24,24,22,23,23.25,Long Beach,33.83028669999999,-118.0965122,Parkcrest Street,Long Beach,Los Angeles County
109,Esteban Torres East LA Performing Arts Magnet,15,14,16,16,15.25,Los Angeles,34.0416438,-118.1754493,Dozier Street,Los Angeles,Los Angeles County
